model,subgroup_variable,subgroup,n,outcome_rate,auc,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,precision,f1,brier_score,calibration_slope,calibration_intercept,calibration_error,warning
logistic_regression,age_group,18-39,503,0.011928429423459244,0.5640509725016767,0.9821073558648111,0.0,0.993963782696177,0.006036217303822937,1.0,0.0,0.0,0.026118176606373642,0.21291308089670585,-3.925976485168272,4.7130634042715664,
logistic_regression,age_group,40-59,411,0.1411192214111922,0.7257008889323044,0.7372262773722628,0.6206896551724138,0.7563739376770539,0.24362606232294617,0.3793103448275862,0.29508196721311475,0.4,0.1961319743483949,1.0025866073241336,-1.661392704815278,1.6639793121394115,
logistic_regression,age_group,60+,549,0.28233151183970856,0.7303586048796463,0.4225865209471767,0.9806451612903225,0.20304568527918782,0.7969543147208121,0.01935483870967742,0.3261802575107296,0.4895330112721416,0.32333253016543234,1.052037196086404,-1.8608461802819596,1.9128833763683635,
logistic_regression,sex,Female,749,0.13618157543391188,0.8026032669636635,0.7169559412550067,0.7647058823529411,0.7094281298299846,0.29057187017001546,0.23529411764705882,0.2932330827067669,0.42391304347826086,0.17846892697267663,0.8387010616077281,-1.7218580774180618,1.8831570158103337,
logistic_regression,sex,Male,714,0.1638655462184874,0.8532691949777377,0.6890756302521008,0.9401709401709402,0.6398659966499163,0.3601340033500838,0.05982905982905983,0.3384615384615385,0.497737556561086,0.19269470174857678,1.3159442430162505,-2.0322331492107133,2.3481773922269635,
logistic_regression,education,9th-11th grade,161,0.19875776397515527,0.7999031007751938,0.6832298136645962,0.875,0.6356589147286822,0.3643410852713178,0.125,0.37333333333333335,0.5233644859813085,0.19784087120307933,0.9426036184700253,-1.4872338199715127,1.5446302015014874,
logistic_regression,education,College graduate,343,0.11661807580174927,0.8479372937293729,0.7521865889212828,0.825,0.7425742574257426,0.25742574257425743,0.175,0.2972972972972973,0.43708609271523174,0.1589254929668518,1.3036250674669128,-1.9067654571444126,2.2103905246113253,
logistic_regression,education,High school/GED,325,0.15384615384615385,0.8196363636363636,0.6707692307692308,0.84,0.64,0.36,0.16,0.2978723404255319,0.43979057591623033,0.1989721107898174,1.082894768262002,-1.8715305592681326,1.9544253275301346,
logistic_regression,education,Less than 9th grade,115,0.28695652173913044,0.729859571322986,0.5391304347826087,0.9696969696969697,0.36585365853658536,0.6341463414634146,0.030303030303030304,0.38095238095238093,0.547008547008547,0.292342039594003,0.7047677872065012,-1.450226593538933,1.7454588063324317,
logistic_regression,education,Some college/AA,441,0.14512471655328799,0.8118783156498675,0.6893424036281179,0.828125,0.6657824933687002,0.33421750663129973,0.171875,0.29608938547486036,0.43621399176954734,0.19289050612546169,0.9640852108234269,-1.839856810611843,1.8757715997884161,
logistic_regression,poverty_group,101-200% FPL,333,0.16516516516516516,0.78378024852845,0.6396396396396397,0.8545454545454545,0.5971223021582733,0.4028776978417266,0.14545454545454545,0.29559748427672955,0.4392523364485981,0.2282650068144706,0.7877869611571617,-1.8400519402479711,2.0522649790908094,
logistic_regression,poverty_group,201-400% FPL,329,0.14285714285714285,0.8816206428248076,0.7629179331306991,0.8936170212765957,0.7411347517730497,0.25886524822695034,0.10638297872340426,0.3652173913043478,0.5185185185185185,0.15207529694657113,1.4948365252326656,-1.8448025090249245,2.33963903425759,
logistic_regression,poverty_group,<=100% FPL,268,0.17164179104477612,0.8426361143752448,0.7126865671641791,0.8695652173913043,0.6801801801801802,0.31981981981981983,0.13043478260869565,0.36036036036036034,0.5095541401273885,0.1724617159198683,1.1524701616073612,-1.6145821005532655,1.7670522621606266,
