model,subgroup_variable,subgroup,metric,estimate,ci_low,ci_high,warning
xgboost,poverty_group,201-400% FPL,false_negative_rate,0.7872340425531915,0.6697115384615385,0.8897727272727272,
xgboost,poverty_group,201-400% FPL,brier_score,,0.06867759443924407,0.10898713080546042,
xgboost,poverty_group,<=100% FPL,auc,0.8403838621229925,0.7848125140917304,0.8903146740210693,
xgboost,poverty_group,<=100% FPL,sensitivity,0.21739130434782608,0.09831637596899226,0.349145299145299,
xgboost,poverty_group,<=100% FPL,specificity,0.9819819819819819,0.9637919737919738,0.9956140350877193,
xgboost,poverty_group,<=100% FPL,false_positive_rate,0.018018018018018018,0.0043859649122807015,0.0362080262080262,
xgboost,poverty_group,<=100% FPL,false_negative_rate,0.782608695652174,0.6508547008547009,0.9016836240310074,
xgboost,poverty_group,<=100% FPL,brier_score,,0.08506422395910473,0.1305819531564987,
xgboost,poverty_group,>400% FPL,auc,0.8493478839499601,0.7766325154860133,0.9096451608515027,
xgboost,poverty_group,>400% FPL,sensitivity,0.15384615384615385,0.051250000000000004,0.276867816091954,
xgboost,poverty_group,>400% FPL,specificity,0.9930795847750865,0.9827554429898095,1.0,
xgboost,poverty_group,>400% FPL,false_positive_rate,0.006920415224913495,0.0,0.01724455701019037,
xgboost,poverty_group,>400% FPL,false_negative_rate,0.8461538461538461,0.723132183908046,0.9487499999999999,
xgboost,poverty_group,>400% FPL,brier_score,,0.06175627892363077,0.09740633528932484,
xgboost,race_ethnicity,Mexican American,auc,0.8666947014297729,0.7972117648680149,0.9268069801748144,
xgboost,race_ethnicity,Mexican American,sensitivity,0.20689655172413793,0.06662958843159066,0.3926877470355731,
xgboost,race_ethnicity,Mexican American,specificity,0.9573170731707317,0.9259259259259259,0.9875,
xgboost,race_ethnicity,Mexican American,false_positive_rate,0.042682926829268296,0.0125,0.07407407407407407,
xgboost,race_ethnicity,Mexican American,false_negative_rate,0.7931034482758621,0.6073122529644269,0.9333704115684092,
xgboost,race_ethnicity,Mexican American,brier_score,,0.07093106225817919,0.12622304653063338,
xgboost,race_ethnicity,Non-Hispanic Asian,auc,0.8372881355932205,0.749571024512885,0.9034619341563785,
xgboost,race_ethnicity,Non-Hispanic Asian,sensitivity,0.2,0.05967023172905526,0.3507094594594594,
xgboost,race_ethnicity,Non-Hispanic Asian,specificity,0.9774011299435028,0.9521590909090909,0.9945675292449486,
xgboost,race_ethnicity,Non-Hispanic Asian,false_positive_rate,0.022598870056497175,0.005432470755051401,0.04784090909090899,
xgboost,race_ethnicity,Non-Hispanic Asian,false_negative_rate,0.8,0.6492905405405406,0.9403297682709447,
xgboost,race_ethnicity,Non-Hispanic Asian,brier_score,,0.06833645005405352,0.12547044776021885,
