model,subgroup_variable,subgroup,n,brier_score,calibration_slope,calibration_intercept,warning
xgboost,Overall,Overall,1463,0.1005668118596077,1.0495176404502369,0.013681431751782144,
random_forest,Overall,Overall,1463,0.1429361669508191,1.179625824813302,-1.3061623854581486,
logistic_regression,Overall,Overall,1463,0.18541164959058004,1.0344610866264112,-1.812459588372618,
logistic_regression,age_group,18-39,503,0.026118176606373642,0.21291308089670585,-3.925976485168272,
logistic_regression,age_group,40-59,411,0.1961319743483949,1.0025866073241336,-1.661392704815278,
logistic_regression,age_group,60+,549,0.32333253016543234,1.052037196086404,-1.8608461802819596,
logistic_regression,sex,Female,749,0.17846892697267663,0.8387010616077281,-1.7218580774180618,
logistic_regression,sex,Male,714,0.19269470174857678,1.3159442430162505,-2.0322331492107133,
logistic_regression,education,9th-11th grade,161,0.19784087120307933,0.9426036184700253,-1.4872338199715127,
logistic_regression,education,College graduate,343,0.1589254929668518,1.3036250674669128,-1.9067654571444126,
logistic_regression,education,High school/GED,325,0.1989721107898174,1.082894768262002,-1.8715305592681326,
logistic_regression,education,Less than 9th grade,115,0.292342039594003,0.7047677872065012,-1.450226593538933,
logistic_regression,education,Some college/AA,441,0.19289050612546169,0.9640852108234269,-1.839856810611843,
logistic_regression,poverty_group,101-200% FPL,333,0.2282650068144706,0.7877869611571617,-1.8400519402479711,
logistic_regression,poverty_group,201-400% FPL,329,0.15207529694657113,1.4948365252326656,-1.8448025090249245,
logistic_regression,poverty_group,<=100% FPL,268,0.1724617159198683,1.1524701616073612,-1.6145821005532655,
logistic_regression,poverty_group,>400% FPL,328,0.17342259135537477,1.2577384897351798,-2.0005541433914353,
logistic_regression,race_ethnicity,Mexican American,193,0.19123779723950374,0.9707888290433737,-1.9305013790116536,
logistic_regression,race_ethnicity,Non-Hispanic Asian,207,0.1639906492021454,1.0137914377527297,-1.6374978675231433,
logistic_regression,race_ethnicity,Non-Hispanic Black,345,0.1936945696327308,0.9016734670269455,-1.6466622909810473,
logistic_regression,race_ethnicity,Non-Hispanic White,518,0.19982786902240063,1.2361026365050103,-2.068891939319253,
logistic_regression,race_ethnicity,Other Hispanic,132,0.14153339426509642,1.212005137424388,-1.4311954579835784,
logistic_regression,race_ethnicity,Other/Multi-racial,68,0.16741784380973418,1.102885535125478,-2.3294993570806812,
random_forest,age_group,18-39,503,0.018475469682963666,0.5866483553479537,-2.8822313638343604,
random_forest,age_group,40-59,411,0.13967334718730262,1.4661570019759371,-0.8726601404755664,
random_forest,age_group,60+,549,0.2594111207732901,1.3168969908558124,-1.477676594525713,
random_forest,sex,Female,749,0.13561322146947177,1.142724383735482,-1.2591168853432109,
random_forest,sex,Male,714,0.15061808034791876,1.227812365313614,-1.3642489933156052,
random_forest,education,9th-11th grade,161,0.1533161471285041,1.219162262273429,-0.9693161864188079,
